role,experience_years,education,num_projects,certifications,location_tier,company_type,skills,salary_lpa
Machine Learning Engineer,0.1,Masters,9,1,Tier-1,Enterprise,deep learning|docker|machine learning|python|tensorflow,11.98
Backend Developer,4.2,Masters,7,0,Tier-2,Product-based,java|node.js|postgresql|python|rest api|system design,16.18
UI/UX Designer,2.7,Masters,5,1,Tier-2,Product-based,a/b testing|figma|prototyping|wireframing,12.24
Product Manager,0.5,Masters,5,1,Tier-1,Startup,a/b testing|data visualization|jira|product management|requirements gathering|user research,15.42
AI Engineer,0.1,Bachelors,5,3,Tier-3,Service-based,docker|kubernetes|machine learning|nlp|pytorch|tensorflow,8.41
DevOps Engineer,1.6,Bachelors,3,1,Tier-2,Product-based,ci/cd|docker|jenkins|kubernetes|linux|terraform,11.24
Cybersecurity Analyst,2.3,Bachelors,4,1,Tier-1,Service-based,azure|network security|penetration testing|python|siem,10.6
Cybersecurity Analyst,5.5,Masters,3,0,Tier-3,Product-based,aws|ci/cd|linux|network security|python|siem,15.14
AI Engineer,0.4,Bachelors,2,0,Tier-1,Service-based,computer vision|kubernetes|machine learning|nlp|python|scikit-learn|system design,10.22
Software Engineer,12.3,Masters,3,3,Tier-3,Product-based,algorithms|c++|git|java|rest api,23.95
Product Manager,2.8,Bachelors,4,2,Tier-1,Product-based,a/b testing|jira|product management|requirements gathering|sql|user research|wireframing,23.2
Business Analyst,7.8,Bachelors,3,1,Tier-1,Enterprise,agile|data visualization|excel|power bi|python|requirements gathering|sql|stakeholder management,15.98
Full Stack Developer,5.9,Bachelors,3,1,Tier-2,Product-based,css|docker|flask|html|javascript|node.js|python|react|rest api|sql,16.01
UI/UX Designer,1.9,Bachelors,7,1,Tier-1,Enterprise,prototyping|ui/ux design|user research|wireframing,11.05
Frontend Developer,4.3,Masters,6,2,Tier-1,Service-based,css|figma|git|javascript|node.js|react|typescript,12.39
Business Analyst,4.8,Bachelors,6,1,Tier-3,Product-based,data visualization|excel|jira|power bi|python|requirements gathering|stakeholder management,11.18
Cloud Engineer,0.5,Bachelors,4,0,Tier-1,Service-based,aws|kubernetes|terraform,7.45
Data Scientist,3.5,Masters,3,0,Tier-2,Product-based,excel|machine learning|numpy|pandas|power bi|python|scikit-learn|seaborn|sql,19.72
UI/UX Designer,3.7,Bachelors,2,1,Tier-3,Service-based,css|figma|html|ui/ux design|user research|wireframing,7.15
Cybersecurity Analyst,1.2,Masters,5,0,Tier-2,Service-based,aws|azure|linux|network security|risk assessment|siem,8.42
DevOps Engineer,3.9,Bachelors,2,1,Tier-3,Product-based,azure|ci/cd|docker|jenkins|kubernetes|linux|python|terraform,12.81
DevOps Engineer,2.6,Bachelors,2,1,Tier-2,Enterprise,aws|ci/cd|docker|gcp|jenkins|linux|python|terraform,13.27
Software Engineer,0.1,Bachelors,5,1,Tier-2,Product-based,algorithms|c++|data structures|git|linux|oop|python|rest api|system design,8.87
Full Stack Developer,1.8,Bachelors,5,1,Tier-1,Enterprise,css|html|javascript|react|rest api|sql,12.12
Data Analyst,1.4,Bachelors,6,0,Tier-1,Enterprise,data visualization|excel|matplotlib|pandas|power bi|python|r|sql|statistics|tableau,8.68
Data Analyst,3.8,PhD,2,0,Tier-1,Product-based,excel|python|sql,16.41
Full Stack Developer,7.3,Bachelors,3,1,Tier-1,Service-based,css|docker|html|javascript|node.js|react|rest api|sql,17.68
Frontend Developer,1.1,Bachelors,1,1,Tier-1,Service-based,git|html|javascript|typescript,7.34
UI/UX Designer,1.9,Bachelors,6,0,Tier-2,Enterprise,a/b testing|ui/ux design|user research|wireframing,8.23
Frontend Developer,1.1,Bachelors,2,1,Tier-1,Service-based,css|git|html|node.js|typescript,7.58
Backend Developer,0.6,Bachelors,5,1,Tier-2,Service-based,fastapi|flask|java|mongodb|node.js|postgresql|python|rest api|sql|system design,6.15
Data Analyst,3.2,Bachelors,6,0,Tier-2,Startup,data visualization|excel|pandas|python|sql|statistics|tableau,10.44
Frontend Developer,0.7,Masters,5,0,Tier-2,Startup,agile|css|figma|git|html|node.js|react|typescript,8.13
Product Manager,2.9,Bachelors,2,2,Tier-1,Startup,a/b testing|data visualization|jira|product management|requirements gathering|stakeholder management|user research|wireframing,16.62
Full Stack Developer,5.3,Bachelors,3,2,Tier-3,Product-based,html|node.js|python|react|rest api|sql,13.41
Software Engineer,2.9,Bachelors,2,2,Tier-1,Service-based,algorithms|c++|data structures|git|oop|rest api,10.89
Product Manager,7.0,Bachelors,2,0,Tier-1,Startup,a/b testing|jira|product management|requirements gathering|sql|stakeholder management,26.02
Product Manager,0.4,Bachelors,5,1,Tier-1,Product-based,a/b testing|agile|data visualization|jira|product management|requirements gathering|sql|stakeholder management|wireframing,16.54
Software Engineer,1.3,PhD,1,0,Tier-2,Startup,agile|data structures|git|java|python|sql|system design,10.83
Backend Developer,0.9,Bachelors,4,0,Tier-3,Product-based,java|postgresql|python|rest api|system design,8.3
Data Scientist,5.6,Masters,5,1,Tier-1,Service-based,data visualization|deep learning|machine learning|numpy|pandas|power bi|scikit-learn|sql|statistics|tensorflow,16.84
Business Analyst,11.8,Masters,2,1,Tier-2,Service-based,agile|jira|power bi|requirements gathering|sql|stakeholder management|statistics,16.33
Data Analyst,4.7,Bachelors,6,1,Tier-2,Service-based,data visualization|excel|power bi|python|sql|statistics|tableau,11.69
Data Analyst,7.4,Bachelors,3,3,Tier-1,Service-based,data visualization|matplotlib|power bi|python|r,15.74
DevOps Engineer,1.7,Masters,2,0,Tier-2,Startup,azure|ci/cd|docker|jenkins|kubernetes|linux|python,10.99
Data Scientist,1.8,Bachelors,7,2,Tier-2,Product-based,data visualization|numpy|pandas|scikit-learn|sql|statistics,15.31
UI/UX Designer,1.7,Bachelors,3,2,Tier-1,Product-based,agile|figma|ui/ux design|wireframing,10.8
Machine Learning Engineer,2.0,Masters,3,3,Tier-2,Product-based,deep learning|docker|machine learning|python|pytorch|scikit-learn|tensorflow,18.14
DevOps Engineer,1.1,Bachelors,2,0,Tier-3,Startup,aws|ci/cd|docker|gcp|jenkins|python,7.34
Data Analyst,0.8,Bachelors,4,0,Tier-1,Service-based,excel|matplotlib|pandas|power bi|python|r|sql|statistics|tableau,5.65
Data Scientist,0.2,Bachelors,4,0,Tier-1,Product-based,data visualization|machine learning|pandas|python|r|scikit-learn|sql|statistics,9.52
Data Analyst,1.1,Bachelors,2,0,Tier-1,Startup,data visualization|excel|matplotlib|power bi|python|requirements gathering|sql|statistics|tableau,7.66
DevOps Engineer,4.0,Bachelors,1,0,Tier-2,Startup,aws|ci/cd|docker|gcp|jenkins|kubernetes|linux|python|system design,13.13
Product Manager,2.4,Bachelors,1,2,Tier-1,Enterprise,a/b testing|data visualization|jira|product management|requirements gathering|stakeholder management|user research,16.2
Backend Developer,4.6,Bachelors,5,0,Tier-2,Service-based,fastapi|node.js|postgresql|rest api|system design,10.6
Backend Developer,3.7,Masters,4,0,Tier-2,Service-based,java|node.js|postgresql|rest api|sql|system design,9.62
Business Analyst,0.5,Bachelors,3,1,Tier-2,Enterprise,data visualization|power bi|requirements gathering|stakeholder management|statistics,6.99
Frontend Developer,3.5,Masters,2,0,Tier-3,Product-based,git|html|javascript|react,10.67
Cybersecurity Analyst,6.5,Masters,3,0,Tier-2,Startup,aws|linux|network security|penetration testing|python|risk assessment,17.66
Full Stack Developer,11.0,Bachelors,9,1,Tier-2,Service-based,html|javascript|node.js|react|rest api,20.22
Data Analyst,2.8,Masters,2,1,Tier-1,Enterprise,data visualization|excel|pandas|power bi|requirements gathering|sql|statistics|tableau,12.83
Full Stack Developer,0.0,Bachelors,2,1,Tier-2,Product-based,css|html|javascript|react|rest api|sql,7.55
Machine Learning Engineer,0.9,Bachelors,5,2,Tier-1,Enterprise,deep learning|docker|kubernetes|machine learning|python|pytorch|scikit-learn|system design|tensorflow,12.91
Product Manager,1.4,Bachelors,6,0,Tier-2,Enterprise,a/b testing|agile|jira|requirements gathering|stakeholder management,12.52
UI/UX Designer,2.0,Bachelors,5,0,Tier-1,Startup,agile|ui/ux design|user research|wireframing,8.75
Cloud Engineer,0.7,Bachelors,3,2,Tier-1,Startup,aws|ci/cd|gcp|terraform,12.13
UI/UX Designer,4.4,Bachelors,4,0,Tier-2,Startup,agile|figma|prototyping|ui/ux design,11.39
Frontend Developer,1.2,Masters,6,0,Tier-1,Startup,css|html|javascript|node.js|react|rest api|typescript,11.2
AI Engineer,1.0,Bachelors,3,1,Tier-2,Product-based,computer vision|kubernetes|machine learning|nlp|python|pytorch|tensorflow,12.19
Cloud Engineer,1.6,Bachelors,2,2,Tier-1,Enterprise,azure|gcp|jenkins|kubernetes|system design,12.94
Product Manager,9.0,Bachelors,5,0,Tier-2,Startup,a/b testing|agile|product management|requirements gathering,30.81
Cybersecurity Analyst,0.4,PhD,3,1,Tier-2,Enterprise,linux|network security|penetration testing|risk assessment|siem,10.2
Data Analyst,0.4,Bachelors,4,2,Tier-1,Enterprise,data visualization|excel|python|sql|statistics|tableau,8.04
Data Scientist,5.1,Bachelors,5,1,Tier-3,Service-based,data visualization|machine learning|python|scikit-learn|statistics,12.56
Full Stack Developer,1.1,Bachelors,4,2,Tier-1,Product-based,css|html|javascript|node.js|rest api|sql,11.71
DevOps Engineer,4.7,Bachelors,4,3,Tier-1,Service-based,aws|ci/cd|kubernetes,17.3
Business Analyst,0.6,Bachelors,2,0,Tier-1,Startup,agile|data visualization|jira|requirements gathering|sql|stakeholder management,8.38
Data Analyst,0.5,Bachelors,3,2,Tier-2,Product-based,data visualization|excel|python|r|requirements gathering|statistics|tableau,8.83
Frontend Developer,1.7,PhD,2,2,Tier-1,Service-based,css|html|javascript|node.js|react|rest api,9.62
DevOps Engineer,1.1,Masters,3,1,Tier-1,Service-based,aws|ci/cd|docker|gcp|jenkins|kubernetes|linux|system design,10.65
UI/UX Designer,0.1,Bachelors,4,2,Tier-2,Startup,agile|css|prototyping|ui/ux design|user research|wireframing,6.79
Data Analyst,3.2,Masters,5,0,Tier-3,Startup,data visualization|excel|power bi|python|statistics|tableau,8.4
AI Engineer,4.6,PhD,4,2,Tier-2,Startup,aws|computer vision|deep learning|kubernetes|machine learning|nlp|python|pytorch|tensorflow,22.18
Full Stack Developer,1.0,Bachelors,4,2,Tier-2,Service-based,css|html|javascript|node.js|rest api|sql,7.2
Business Analyst,4.6,Bachelors,4,2,Tier-2,Service-based,agile|excel|power bi|python|sql,10.08
Product Manager,3.3,Bachelors,9,3,Tier-2,Product-based,a/b testing|agile|data visualization|jira|product management|requirements gathering|stakeholder management|user research,17.96
Software Engineer,0.1,Bachelors,3,1,Tier-2,Startup,agile|c++|data structures|git|java|oop|sql|system design,8.05
Cybersecurity Analyst,1.8,Bachelors,3,0,Tier-1,Service-based,aws|ci/cd|linux|network security|risk assessment|siem,10.4
Backend Developer,1.5,Bachelors,3,3,Tier-2,Service-based,fastapi|java|mongodb|python|redis|rest api|sql,8.56
DevOps Engineer,3.5,Masters,2,0,Tier-1,Startup,aws|azure|kubernetes|python|system design|terraform,15.3
Cloud Engineer,4.6,Bachelors,2,0,Tier-2,Product-based,aws|azure|ci/cd|gcp,16.35
Business Analyst,2.1,Bachelors,5,1,Tier-1,Service-based,agile|excel|power bi|requirements gathering|sql|stakeholder management|statistics,8.46
Software Engineer,6.7,Bachelors,4,1,Tier-1,Product-based,c++|data structures|git|oop|python|rest api,21.35
Business Analyst,6.2,Masters,4,0,Tier-1,Startup,power bi|requirements gathering|sql|stakeholder management|statistics,15.4
AI Engineer,3.4,Masters,3,1,Tier-2,Enterprise,aws|deep learning|machine learning|nlp|python|scikit-learn|tensorflow,14.94
DevOps Engineer,2.4,Bachelors,7,2,Tier-3,Service-based,azure|ci/cd|docker|gcp|jenkins|kubernetes|linux|python,8.39
Business Analyst,3.4,Bachelors,6,2,Tier-1,Service-based,agile|data visualization|jira|power bi|requirements gathering|sql|stakeholder management,11.41
AI Engineer,1.8,Bachelors,3,1,Tier-2,Startup,computer vision|deep learning|machine learning|nlp|python|pytorch,15.88
Full Stack Developer,2.8,Masters,3,1,Tier-3,Service-based,docker|javascript|node.js|react|sql,8.65
DevOps Engineer,7.1,Bachelors,3,2,Tier-2,Product-based,aws|ci/cd|docker|linux,19.4
AI Engineer,0.0,Bachelors,4,0,Tier-1,Enterprise,computer vision|kubernetes|machine learning|python|pytorch|scikit-learn|system design,12.47
Data Analyst,7.5,Bachelors,4,4,Tier-1,Product-based,data visualization|excel|power bi|python|sql|statistics|tableau,21.28
Backend Developer,0.1,Bachelors,3,1,Tier-1,Enterprise,docker|fastapi|java|python|redis|rest api|sql|system design,8.02
Frontend Developer,0.8,Bachelors,3,0,Tier-1,Enterprise,agile|css|git|html|javascript|node.js|react|rest api|typescript,8.67
Software Engineer,0.5,Bachelors,1,0,Tier-1,Enterprise,agile|algorithms|c++|data structures|git|java|linux|python|system design,9.78
Backend Developer,3.0,Masters,6,1,Tier-3,Service-based,django|flask|node.js|postgresql|python|rest api|sql|system design,9.3
Machine Learning Engineer,7.2,Bachelors,3,1,Tier-1,Product-based,deep learning|docker|machine learning|python|scikit-learn|sql|tensorflow,30.63
DevOps Engineer,1.6,Bachelors,6,0,Tier-1,Startup,aws|azure|ci/cd|docker|gcp|jenkins|kubernetes|linux|python|terraform,13.87
Machine Learning Engineer,6.7,Bachelors,2,1,Tier-2,Product-based,deep learning|docker|machine learning|python|pytorch|scikit-learn|system design|tensorflow,25.93
Data Scientist,4.7,Bachelors,1,3,Tier-1,Service-based,data visualization|excel|matplotlib|numpy|pandas|r|sql|statistics,15.74
Business Analyst,4.7,Bachelors,3,3,Tier-1,Product-based,agile|excel|power bi|requirements gathering|stakeholder management,14.89
AI Engineer,3.0,Bachelors,5,0,Tier-2,Product-based,computer vision|deep learning|nlp|python|pytorch|tensorflow,17.64
Frontend Developer,5.9,Bachelors,5,1,Tier-1,Service-based,agile|css|git|html|javascript|node.js|rest api|typescript,14.74
DevOps Engineer,3.9,Bachelors,5,1,Tier-1,Product-based,aws|docker|gcp|kubernetes|linux|python|system design,22.24
Cybersecurity Analyst,5.8,Bachelors,2,2,Tier-2,Service-based,ci/cd|linux|network security|penetration testing|python|risk assessment,13.75
Business Analyst,2.1,Bachelors,2,0,Tier-2,Product-based,agile|data visualization|excel|jira|power bi|python|requirements gathering|sql,10.33
UI/UX Designer,10.6,Bachelors,2,2,Tier-1,Service-based,figma|html|prototyping|wireframing,17.37
Backend Developer,1.6,Bachelors,4,3,Tier-1,Startup,docker|flask|java|node.js|postgresql|python|redis|rest api|sql|system design,10.59
AI Engineer,2.1,Masters,1,0,Tier-1,Product-based,aws|computer vision|deep learning|machine learning|nlp|python|pytorch|scikit-learn,20.84
Software Engineer,3.7,Bachelors,4,0,Tier-1,Startup,algorithms|c++|data structures|git|java|oop|python|system design,13.1
Product Manager,0.8,Bachelors,2,0,Tier-1,Startup,a/b testing|agile|data visualization|jira|product management|requirements gathering|sql|stakeholder management|wireframing,12.56
Cloud Engineer,1.4,Masters,5,0,Tier-1,Startup,aws|azure|ci/cd|jenkins|terraform,14.33
Cybersecurity Analyst,2.5,Bachelors,6,0,Tier-1,Enterprise,linux|penetration testing|risk assessment,12.16
Data Analyst,3.0,Bachelors,3,0,Tier-3,Service-based,data visualization|excel|matplotlib|power bi|python|requirements gathering|sql|statistics|tableau,6.09
Cybersecurity Analyst,0.5,Bachelors,3,1,Tier-1,Service-based,aws|azure|linux|penetration testing|siem,7.06
Software Engineer,4.6,PhD,4,0,Tier-2,Product-based,algorithms|c++|data structures|git|java|linux|oop|python|sql|system design,17.39
Data Analyst,0.1,Masters,4,0,Tier-2,Enterprise,data visualization|excel|numpy|power bi|requirements gathering|sql,7.05
DevOps Engineer,2.2,Bachelors,4,2,Tier-1,Enterprise,aws|azure|ci/cd|docker|gcp|jenkins|linux|system design|terraform,15.23
DevOps Engineer,3.1,PhD,5,1,Tier-3,Enterprise,aws|ci/cd|docker|jenkins|kubernetes|terraform,14.15
Full Stack Developer,3.9,Masters,3,0,Tier-3,Startup,css|html|javascript|react|sql,10.62
DevOps Engineer,6.5,Masters,4,1,Tier-2,Service-based,azure|ci/cd|kubernetes|linux|python|system design|terraform,17.05
UI/UX Designer,1.5,Bachelors,6,1,Tier-1,Service-based,agile|figma|prototyping|ui/ux design|user research,7.8
Cloud Engineer,0.7,Bachelors,5,1,Tier-1,Product-based,aws|ci/cd|docker|gcp|jenkins|python,12.63
Product Manager,0.8,Bachelors,5,2,Tier-2,Enterprise,a/b testing|jira|product management|requirements gathering|stakeholder management|wireframing,13.58
Data Scientist,2.8,Bachelors,5,2,Tier-1,Enterprise,deep learning|machine learning|power bi|python|sql|statistics|tensorflow,12.85
Full Stack Developer,3.2,Bachelors,6,1,Tier-1,Enterprise,css|html|javascript|node.js|react|rest api|sql,14.83
Backend Developer,0.6,Bachelors,5,1,Tier-3,Product-based,fastapi|java|node.js|postgresql|rest api|spring boot|system design,8.36
Software Engineer,1.7,Bachelors,6,3,Tier-3,Enterprise,algorithms|c++|data structures|java|oop|system design,8.18
Data Scientist,0.5,Bachelors,3,0,Tier-3,Product-based,data visualization|deep learning|machine learning|numpy|scikit-learn|sql|statistics,8.77
Data Analyst,2.4,PhD,4,1,Tier-1,Startup,data visualization|pandas|power bi|python|sql|statistics|tableau,13.62
Data Analyst,2.3,Bachelors,2,2,Tier-1,Startup,excel|matplotlib|power bi|python|requirements gathering|statistics|tableau,10.51
